sample_id	count_all	count_y
smpl10	99583	185
smpl13	99721	147
smpl15	99828	10
smpl19	99736	162
smpl21	99012	160
smpl22	99669	8
smpl23	92775	5
smpl24	94931	137
smpl25	99593	172
smpl26	99807	6
smpl27	99916	7
smpl29	99919	3
smpl30	99757	170
smpl31	99780	149
smpl32	99728	211
smpl33	99904	10
smpl34	99721	156
smpl39	96823	16
smpl40	97878	10
smpl41	98016	148
smpl42	98883	15
smpl43	97669	184
smpl45	98484	9
smpl46	96900	169
smpl47	99084	8
smpl48	97876	146
smpl49	95171	173
smpl50	88490	13
smpl51	97201	140
smpl52	91621	160
smpl56	98371	7
smpl57	94806	139
smpl59	99367	11
smpl60	99868	15
smpl61	74573	8
smpl62	96717	183
smpl64	98332	8
smpl65	97837	138
smpl68	99902	5
smpl69	98941	13
smpl70	92981	150
smpl71	99909	16
smpl72	98989	7
smpl73	96775	11
smpl74	99893	9
smpl75	95673	5
smpl76	97813	12
smpl78	99711	172
smpl79	96290	138
smpl80	95424	4
smpl81	97671	148
smpl82	99880	8
smpl83	83281	10
smpl84	78676	179
smpl88	97614	6
smpl89	97835	163
smpl90	96511	8
smpl91	99918	7
smpl92	92968	151
smpl93	97346	5
smpl95	97437	11
smpl96	97631	179
smpl97	98965	162
smpl98	99269	13
